Date,GOOGL,AMZN,BALL,EQIX,HON,MA,NEE,SLB,NVDA,PG,UNH
2017-01-01,41.0095,41.174,38.13,384.98,113.2849,106.33,30.93,83.71,2.7295,87.6,162.1
2017-02-01,42.2465,42.252,36.765,376.07,119.202,110.46,32.75,80.36,2.537,91.07,165.38
2017-03-01,42.39,44.327,37.13,400.37,119.5562,112.47,32.0925,78.1,2.7233,89.85,164.01
2017-04-01,46.226,46.2495,38.445,417.7,125.5594,116.32,33.39,72.59,2.6075,87.33,174.88
2017-05-01,49.3545,49.731,40.9,441.01,127.3307,122.88,35.36,69.59,3.6088,88.09,175.18
2017-06-01,46.484,48.4,42.21,429.16,127.6179,121.45,35.0325,65.84,3.614,87.15,185.42
2017-07-01,47.275,49.389,41.9,450.73,130.3275,127.8,36.5225,68.6,4.0628,90.82,191.81
2017-08-01,47.762,49.03,39.99,468.41,132.386,133.3,37.6275,63.51,4.236,92.27,198.9
2017-09-01,48.686,48.0675,41.3,446.3,135.7083,141.2,36.6375,69.76,4.4693,90.98,195.85
2017-10-01,51.652,55.264,42.93,463.5,138.0253,148.77,38.7675,64.0,5.1703,86.34,210.22
2017-11-01,51.8085,58.8375,39.91,464.49,149.3232,150.47,39.51,62.85,5.0178,89.99,228.17
2017-12-01,52.67,58.4735,37.85,453.22,146.8338,151.36,39.0475,67.39,4.8375,91.88,220.46
2018-01-01,59.111,72.5445,38.28,455.19,152.8753,169.0,39.605,73.58,6.145,86.34,236.78
2018-02-01,55.196,75.6225,39.95,392.1,144.6796,175.76,38.0375,65.64,6.05,78.52,226.16
2018-03-01,51.857,72.367,39.71,418.14,138.3604,175.16,40.8325,64.78,5.7898,79.28,214.0
2018-04-01,50.929,78.3065,40.09,420.79,138.5232,178.27,40.9775,68.56,5.6225,72.34,236.4
2018-05-01,55.0,81.481,36.95,396.85,141.6158,190.12,41.4525,68.67,6.3048,73.17,241.51
2018-06-01,56.4595,84.99,35.55,429.89,137.92,196.52,41.7575,67.03,5.9225,78.06,245.34
2018-07-01,61.361,88.872,38.97,439.28,152.8562,198.0,41.885,67.52,6.1215,80.88,253.22
2018-08-01,61.59,100.6355,41.88,436.13,152.2913,215.56,42.525,63.16,7.017,82.95,268.46
2018-09-01,60.354,100.15,43.99,432.89,159.3189,222.61,41.9,60.92,7.0255,83.23,266.04
2018-10-01,54.529,79.9005,44.8,378.74,144.82,197.67,43.125,51.31,5.2708,88.68,261.35
2018-11-01,55.4825,84.5085,49.11,385.28,146.75,201.07,45.4275,45.1,4.0858,94.51,281.36
2018-12-01,52.248,75.0985,45.98,352.56,132.12,188.65,43.455,36.08,3.3375,91.92,249.12
2019-01-01,56.2945,85.9365,52.28,394.0,143.63,211.13,44.745,44.21,3.5938,96.47,270.2
2019-02-01,56.3275,81.9915,54.78,423.5,154.07,224.77,46.93,44.06,3.8565,98.55,242.22
2019-03-01,58.8445,89.0375,57.86,453.16,158.92,235.45,48.33,43.57,4.489,104.05,247.26
2019-04-01,59.948,96.326,59.94,454.7,173.63,254.24,48.61,42.68,4.525,106.48,233.07
2019-05-01,55.325,88.7535,61.39,485.79,164.31,251.49,49.5525,34.69,3.3865,102.91,241.8
2019-06-01,54.14,94.6815,69.99,504.29,174.59,264.53,51.215,39.74,4.1057,109.65,244.01
2019-07-01,60.91,93.339,71.48,502.1,172.46,272.27,51.7925,39.97,4.218,118.04,249.01
2019-08-01,59.5265,88.8145,80.41,556.28,164.62,281.37,54.77,32.43,4.1878,120.23,234.0
2019-09-01,61.057,86.7955,72.81,576.8,169.2,271.57,58.2475,34.17,4.3518,124.38,217.32
2019-10-01,62.94,88.833,69.97,566.78,172.73,276.81,59.585,32.69,5.0255,124.51,252.7
2019-11-01,65.2045,90.04,66.06,566.85,178.55,292.23,58.455,36.2,5.4185,122.06,279.87
2019-12-01,66.9695,92.392,64.67,583.7,177.0,298.59,60.54,40.2,5.8825,124.9,293.98
2020-01-01,71.639,100.436,72.18,589.73,173.22,315.94,67.05,33.51,5.9108,124.62,272.45
2020-02-01,66.9625,94.1875,70.46,572.8,162.17,290.25,63.19,27.09,6.7518,113.23,254.96
2020-03-01,58.0975,97.486,64.66,624.57,133.79,241.56,60.155,13.49,6.59,110.0,249.38
2020-04-01,67.335,123.7,65.59,675.2,141.9,274.97,57.78,16.82,7.307,117.87,292.47
2020-05-01,71.676,122.1185,71.26,697.63,145.85,300.89,63.89,18.47,8.8755,115.92,304.85
2020-06-01,70.9025,137.941,69.49,702.3,144.59,295.7,60.0425,18.39,9.4978,119.57,294.95
2020-07-01,74.3975,158.234,73.63,785.48,149.37,308.53,70.175,18.14,10.6148,131.12,302.78
2020-08-01,81.4765,172.548,80.37,789.78,165.55,358.19,69.7925,19.01,13.3745,138.33,312.55
2020-09-01,73.28,157.4365,83.12,760.13,164.61,338.17,69.39,15.56,13.5305,138.99,311.77
2020-10-01,80.8055,151.8075,89.0,731.24,164.95,288.64,73.21,14.94,12.534,137.1,305.14
2020-11-01,87.72,158.402,96.01,697.79,203.92,336.51,73.59,20.79,13.4015,138.87,336.34
2020-12-01,87.632,162.8465,93.18,714.18,212.7,356.94,77.15,21.83,13.055,139.14,350.68
2021-01-01,91.368,160.31,88.02,739.96,195.37,316.29,80.87,22.21,12.9898,128.21,333.58
2021-02-01,101.0955,154.6465,85.39,648.34,202.35,353.85,73.48,27.91,13.7145,123.53,332.22
2021-03-01,103.126,154.704,84.74,679.59,217.07,356.05,75.61,27.19,13.3483,135.43,372.07
2021-04-01,117.675,173.371,93.64,720.76,223.04,382.06,77.51,27.05,15.0095,133.42,398.8
2021-05-01,117.8425,161.1535,82.16,736.72,230.91,360.58,73.22,31.33,16.2445,134.85,411.92
2021-06-01,122.0895,172.008,81.02,802.6,219.35,365.09,73.28,32.01,20.0025,134.93,400.44
2021-07-01,134.7265,166.3795,80.88,820.41,233.79,385.94,77.9,28.83,19.499,142.23,412.22
2021-08-01,144.6975,173.5395,95.96,843.45,231.91,346.23,83.99,28.04,22.385,142.39,416.27
2021-09-01,133.676,164.252,89.97,790.13,212.28,347.68,78.52,29.64,20.716,139.8,390.74
2021-10-01,148.046,168.6215,91.48,837.07,218.62,335.52,85.33,32.26,25.567,142.99,460.47
2021-11-01,141.8975,175.3535,93.45,812.2,202.24,314.92,86.78,28.68,32.676,144.58,444.22
2021-12-01,144.852,166.717,96.27,845.84,208.51,359.32,93.36,29.95,29.411,163.58,502.14
2022-01-01,135.3035,149.5735,97.1,724.9,204.48,386.38,78.12,39.07,24.486,160.45,472.57
2022-02-01,135.057,153.563,89.74,709.73,189.75,360.82,78.27,39.24,24.385,155.89,475.87
2022-03-01,139.0675,162.9975,90.0,741.62,194.58,357.38,84.71,41.31,27.286,152.8,509.97
2022-04-01,114.1095,124.2815,81.16,719.08,193.51,363.38,71.02,39.01,18.547,160.55,508.55
2022-05-01,113.762,120.2095,70.89,687.09,193.62,357.87,75.69,45.96,18.672,147.88,496.78
2022-06-01,108.963,106.21,68.77,657.02,173.81,315.48,77.46,35.76,15.159,143.79,513.63
2022-07-01,116.32,134.95,73.42,703.74,192.46,353.79,84.49,37.03,18.163,138.91,542.34
2022-08-01,108.22,126.77,55.81,657.37,189.35,324.37,85.06,38.15,15.094,137.94,519.33
2022-09-01,95.65,113.0,48.32,568.84,166.97,284.34,78.41,35.9,12.139,126.25,505.04
2022-10-01,94.51,102.44,49.39,566.44,204.02,328.18,77.5,52.03,13.497,134.67,555.15
2022-11-01,100.99,96.54,56.08,690.65,219.55,356.4,84.7,51.55,16.923,149.16,547.76
2022-12-01,88.23,84.0,51.14,655.03,214.3,347.73,83.6,53.46,14.614,151.56,530.18
